Grand Prix,Date,Winner,Car,Laps
Bahrain,20 Mar 2022,Charles Leclerc,FERRARI,57
Saudi Arabia,27 Mar 2022,Max Verstappen,RED BULL RACING RBPT,50
Australia,10 Apr 2022,Charles Leclerc,FERRARI,58
Emilia Romagna,24 Apr 2022,Max Verstappen,RED BULL RACING RBPT,63
Miami,08 May 2022,Max Verstappen,RED BULL RACING RBPT,57
Spain,22 May 2022,Max Verstappen,RED BULL RACING RBPT,66
Monaco,29 May 2022,Sergio Perez,RED BULL RACING RBPT,64
Azerbaijan,12 Jun 2022,Max Verstappen,RED BULL RACING RBPT,51
Canada,19 Jun 2022,Max Verstappen,RED BULL RACING RBPT,70
Great Britain,03 Jul 2022,Carlos Sainz,FERRARI,52
Austria,10 Jul 2022,Charles Leclerc,FERRARI,71
France,24 Jul 2022,Max Verstappen,RED BULL RACING RBPT,53
Hungary,31 Jul 2022,Max Verstappen,RED BULL RACING RBPT,70
Belgium,28 Aug 2022,Max Verstappen,RED BULL RACING RBPT,44
Netherlands,04 Sep 2022,Max Verstappen,RED BULL RACING RBPT,72
Italy,11 Sep 2022,Max Verstappen,RED BULL RACING RBPT,53
Singapore,02 Oct 2022,Sergio Perez,RED BULL RACING RBPT,59
Japan,09 Oct 2022,Max Verstappen,RED BULL RACING RBPT,28
United States,23 Oct 2022,Max Verstappen,RED BULL RACING RBPT,56
Mexico,30 Oct 2022,Max Verstappen,RED BULL RACING RBPT,71
Brazil,13 Nov 2022,George Russell,MERCEDES,71
Abu Dhabi,20 Nov 2022,Max Verstappen,RED BULL RACING RBPT,58
Bahrain,28 Mar 2021,Lewis Hamilton,MERCEDES,56
Emilia Romagna,18 Apr 2021,Max Verstappen,RED BULL RACING HONDA,63
Portugal,02 May 2021,Lewis Hamilton,MERCEDES,66
Spain,09 May 2021,Lewis Hamilton,MERCEDES,66
Monaco,23 May 2021,Max Verstappen,RED BULL RACING HONDA,78
Azerbaijan,06 Jun 2021,Sergio Perez,RED BULL RACING HONDA,51
France,20 Jun 2021,Max Verstappen,RED BULL RACING HONDA,53
Styria,27 Jun 2021,Max Verstappen,RED BULL RACING HONDA,71
Austria,04 Jul 2021,Max Verstappen,RED BULL RACING HONDA,71
Great Britain,18 Jul 2021,Lewis Hamilton,MERCEDES,52
Hungary,01 Aug 2021,Esteban Ocon,ALPINE RENAULT,70
Belgium,29 Aug 2021,Max Verstappen,RED BULL RACING HONDA,1
Netherlands,05 Sep 2021,Max Verstappen,RED BULL RACING HONDA,72
Italy,12 Sep 2021,Daniel Ricciardo,MCLAREN MERCEDES,53
Russia,26 Sep 2021,Lewis Hamilton,MERCEDES,53
Turkey,10 Oct 2021,Valtteri Bottas,MERCEDES,58
United States,24 Oct 2021,Max Verstappen,RED BULL RACING HONDA,56
Mexico,07 Nov 2021,Max Verstappen,RED BULL RACING HONDA,71
Brazil,14 Nov 2021,Lewis Hamilton,MERCEDES,71
Qatar,21 Nov 2021,Lewis Hamilton,MERCEDES,57
Saudi Arabia,05 Dec 2021,Lewis Hamilton,MERCEDES,50
Abu Dhabi,12 Dec 2021,Max Verstappen,RED BULL RACING HONDA,58
Austria,05 Jul 2020,Valtteri Bottas,MERCEDES,71
Styria,12 Jul 2020,Lewis Hamilton,MERCEDES,71
Hungary,19 Jul 2020,Lewis Hamilton,MERCEDES,70
Great Britain,02 Aug 2020,Lewis Hamilton,MERCEDES,52
70th Anniversary,09 Aug 2020,Max Verstappen,RED BULL RACING HONDA,52
Spain,16 Aug 2020,Lewis Hamilton,MERCEDES,66
Belgium,30 Aug 2020,Lewis Hamilton,MERCEDES,44
Italy,06 Sep 2020,Pierre Gasly,ALPHATAURI HONDA,53
Tuscany,13 Sep 2020,Lewis Hamilton,MERCEDES,59
Russia,27 Sep 2020,Valtteri Bottas,MERCEDES,53
Eifel,11 Oct 2020,Lewis Hamilton,MERCEDES,60
Portugal,25 Oct 2020,Lewis Hamilton,MERCEDES,66
Emilia Romagna,01 Nov 2020,Lewis Hamilton,MERCEDES,63
Turkey,15 Nov 2020,Lewis Hamilton,MERCEDES,58
Bahrain,29 Nov 2020,Lewis Hamilton,MERCEDES,57
Sakhir,06 Dec 2020,Sergio Perez,RACING POINT BWT MERCEDES,87
Abu Dhabi,13 Dec 2020,Max Verstappen,RED BULL RACING HONDA,55
Australia,17 Mar 2019,Valtteri Bottas,MERCEDES,58
Bahrain,31 Mar 2019,Lewis Hamilton,MERCEDES,57
China,14 Apr 2019,Lewis Hamilton,MERCEDES,56
Azerbaijan,28 Apr 2019,Valtteri Bottas,MERCEDES,51
Spain,12 May 2019,Lewis Hamilton,MERCEDES,66
Monaco,26 May 2019,Lewis Hamilton,MERCEDES,78
Canada,09 Jun 2019,Lewis Hamilton,MERCEDES,70
France,23 Jun 2019,Lewis Hamilton,MERCEDES,53
Austria,30 Jun 2019,Max Verstappen,RED BULL RACING HONDA,71
Great Britain,14 Jul 2019,Lewis Hamilton,MERCEDES,52
Germany,28 Jul 2019,Max Verstappen,RED BULL RACING HONDA,64
Hungary,04 Aug 2019,Lewis Hamilton,MERCEDES,70
Belgium,01 Sep 2019,Charles Leclerc,FERRARI,44
Italy,08 Sep 2019,Charles Leclerc,FERRARI,53
Singapore,22 Sep 2019,Sebastian Vettel,FERRARI,61
Russia,29 Sep 2019,Lewis Hamilton,MERCEDES,53
Japan,13 Oct 2019,Valtteri Bottas,MERCEDES,52
Mexico,27 Oct 2019,Lewis Hamilton,MERCEDES,71
United States,03 Nov 2019,Valtteri Bottas,MERCEDES,56
Brazil,17 Nov 2019,Max Verstappen,RED BULL RACING HONDA,71
Abu Dhabi,01 Dec 2019,Lewis Hamilton,MERCEDES,55
Australia,25 Mar 2018,Sebastian Vettel,FERRARI,58
Bahrain,08 Apr 2018,Sebastian Vettel,FERRARI,57
China,15 Apr 2018,Daniel Ricciardo,RED BULL RACING TAG HEUER,56
Azerbaijan,29 Apr 2018,Lewis Hamilton,MERCEDES,51
Spain,13 May 2018,Lewis Hamilton,MERCEDES,66
Monaco,27 May 2018,Daniel Ricciardo,RED BULL RACING TAG HEUER,78
Canada,10 Jun 2018,Sebastian Vettel,FERRARI,68
France,24 Jun 2018,Lewis Hamilton,MERCEDES,53
Austria,01 Jul 2018,Max Verstappen,RED BULL RACING TAG HEUER,71
Great Britain,08 Jul 2018,Sebastian Vettel,FERRARI,52
Germany,22 Jul 2018,Lewis Hamilton,MERCEDES,67
Hungary,29 Jul 2018,Lewis Hamilton,MERCEDES,70
Belgium,26 Aug 2018,Sebastian Vettel,FERRARI,44
Italy,02 Sep 2018,Lewis Hamilton,MERCEDES,53
Singapore,16 Sep 2018,Lewis Hamilton,MERCEDES,61
Russia,30 Sep 2018,Lewis Hamilton,MERCEDES,53
Japan,07 Oct 2018,Lewis Hamilton,MERCEDES,53
United States,21 Oct 2018,Kimi Räikkönen,FERRARI,56
Mexico,28 Oct 2018,Max Verstappen,RED BULL RACING TAG HEUER,71
Brazil,11 Nov 2018,Lewis Hamilton,MERCEDES,71
Abu Dhabi,25 Nov 2018,Lewis Hamilton,MERCEDES,55
